F_code,product,amount,calories,protein,fat,carbohydrate,sugars,natrium,cholesterol,fatty_acid,trans_fatty_acid
RCPK1002,콕콕콕 짜라볶이,130,530,12,15,87,12,990,0,7,0
RCPK1003,콕콕콕 짜장볶이,120,535,11,19,80,9,870,0,8,0
RCPK1004,콕콕콕 치즈볶이,95,430,9,16,63,6,1180,2.5,8,0
SGJK1100,콘치 크림치즈,100,532,7,28,63,24,210,10,0,0
SGJK1200,쿠쉬쿠쉬 갈릭바게트맛,16,76,1,2.7,12,2,140,1,1.6,0
SGJK1300,쿠크다스 화이트,30,49.05,0.49,2.8,5.47,3.09,14.95,0.38,1.88,0.01
SGJK1301,쿠크다스케이크,70,358,4,24,33,20,120,65,12,0
DAGK1400,쿨피스 복숭아,930,405,2,3,93,84,420,0,1,0
DAGK1401,쿨피스 자두,930,400,2,2.1,93,84,370,0,0.8,0
DAGK1402,쿨피스 파인애플,930,405,2,3,93,84,370,0,1,0
SGJK1500,크라운산도 딸기,30,46.1,0.44,2.19,6.16,2.7,23.61,0.65,1.37,0.05
SGJK1501,크라운산도 초코,30,46.18,0.52,2.22,6.02,2.25,26.44,0.28,1.37,0.05
SGJK1502,크라운산도 크림,30,46.46,0.48,2.28,6.02,2.25,24.47,1.02,1.45,0.06
SGJK1600,크라운츄러스,30,155,2,8,19,7,75,0,0,0
RBJB0208,크림까르보불닭볶음면,140,555,10,18,88,11,1500,10,9,0
SGJE0301,크림웨하스,56,255,3,12,34,13,95,3,0,0
RBJJ0103,크림진짬뽕,130,545,9,21,82,6,1140,25,9,0
RCPB0209,큰컵 까르보불닭볶음면,105,470,7,21,63,7,1190,0,11,0
RCPN0101,큰컵 나가사끼짬뽕,105,445,9,15,69,4,1620,0,8,0
RCPB0210,큰컵 미트스파게티 불닭볶음면,110,430,11,14,65,7,1200,0,7,0
RCPB0211,큰컵 불닭볶음면,105,425,9,15,63,8,950,0,8,0
RCPB0212,큰컵 불닭볶음탕면,120,455,9,16,69,7,1500,0,8,0
RCPS0603,큰컵 삼양라면 매운맛,110,485,10,17,73,2,1720,0,8,0
RCPS0604,큰컵 삼양라면 오리지널,110,470,9,15,75,4,1800,0,8,0
RCPB0213,큰컵 짜장불닭볶음면,105,425,10,15,63,6,1000,2,7,0
RCPB0214,큰컵 쫄볶이 불닭볶음면,120,485,9,19,69,12,1330,0,9,0
RCPB0215,큰컵 치즈불닭볶음면,105,430,9,16,63,5,1000,0,8,0
RCPB0216,큰컵 크림까르보불닭볶음면,120,480,10,17,72,10,1270,5,9,0
RCPT0100,튀김우동큰사발,111,515,9,21,73,8,1590,3,10,0
DTST0200,트레비 레몬,300,0,0,0,0,0,15,0,0,0
RBJT0300,틈새라면 빨계떡,120,495,9,14,83,3,1650,3,6,0
RCPE3001,팔도 김치왕뚜껑,110,470,8,17,71,4,1790,0,9,0
RCPE3000,팔도 왕뚜껑,110,475,9,17,71,4,1690,0,9,0
RBJT0301,팔도 틈새라면 매운김치,120,505,11,16,79,3,1780,0,6,0
RCPT0400,팔도김치도시락,86,395,6,16,57,2,1590,0,8,0
RBJT0500,팔도비빔면,130,525,9,19,80,12,1090,0,9,0
DTST0600,펩시콜라,210,95,0,0,24,23,5,0,0,0
DTST0601,펩시콜라 제로슈거,210,0,0,0,0,0,36,0,0,0
SGJT0700,포스틱,30,140,1,4.7,23,1.2,190,0,0,0
DHDT0800,포카리스웨트,100,25,0,0,6,6,50,0,0,0
DHDT0801,포카리스웨트 이온워터,500,55,0,0,13,12,270,0,0,0
SGJT0900,포카칩 오리지널,30,167,2,11,15,0.4,115,0,4.1,0.1
SGJT0901,포카칩어니언맛,30,171,2,11,16,0.7,95,0,4.1,0.1
SGJT1000,포키딸기,41,200,3,8,29,16,120,0,0,0
SGJT1100,포테토칩 육개장사발면맛,30,170,2,11,16,1,160,0,0,0
SGJT1200,프레첼 솔티카라멜맛,30,125,1,7,14,8,150,2.1,0,0
DTSH0100,핫식스,250,115,0,0,29,29,75,0,0,0
